Place,Year,Month,Date,Tempmax °C,Tempmin °C,Precipitation mm,Humidity %,Photoperiod hrs,
Appleton Woods,2025,October,13,14,9,0,93,,
Appleton Woods,2025,October,14,13,10,0,91,,
Appleton Woods,2025,October,15,11,10,0,84,,
Appleton Woods,2025,October,16,14,9,0,86,,
Appleton Woods,2025,October,17,14,11,0,82,,
Appleton Woods,2025,October,18,14,10,1,76,,
Appleton Woods,2025,October,19,15,11,18,89,,
Appleton Woods,2025,October,20,15,10,8,94,,
Appleton Woods,2025,October,21,14,10,1,90,,
Appleton Woods,2025,October,22,14,7,2,86,,
Appleton Woods,2025,October,23,12,5,15,86,,
Appleton Woods,2025,October,24,12,4,10,85,,
Appleton Woods,2025,October,25,11,7,0,80,,
Appleton Woods,2025,October,26,11,4,0,82,,
Appleton Woods,2025,October,27,13,9,0,69,,
Appleton Woods,2025,October,28,14,10,1,83,,
Appleton Woods,2025,October,29,11,7,1,87,,
Appleton Woods,2025,October,30,14,6,1,86,,
Appleton Woods,2025,October,31,13,5,0,88,,
Appleton Woods,2025,November,1,14,7,0,80,,
Appleton Woods,2025,November,2,12,7,0,86,,
Appleton Woods,2025,November,3,15,9,0,84,,
Appleton Woods,2025,November,4,15,13,0,84,,
Appleton Woods,2025,November,5,16,13,0,83,,
Appleton Woods,2025,November,6,17,11,0,89,,
Appleton Woods,2025,November,7,16,11,5,93,,
Appleton Woods,2025,November,8,14,6,0,89,,
Appleton Woods,2025,November,9,14,6,8,91,,
Appleton Woods,2025,November,10,13,8,19,89,,
Appleton Woods,2025,November,11,14,7,10,88,,
Appleton Woods,2025,November,12,14,13,3,90,,
Appleton Woods,2025,November,13,16,12,15,85,,
Appleton Woods,2025,November,14,13,11,54,94,,
Appleton Woods,2025,November,15,12,10,1,94,,
Appleton Woods,2025,November,16,10,5,0,84,,
Appleton Woods,2025,November,17,8,1,0,89,,
Appleton Woods,2025,November,18,7,1,0,86,,
Appleton Woods,2025,November,19,5,-1,8,82,,
Appleton Woods,2025,November,20,5,-1,0,82,,
Appleton Woods,2025,November,21,6,-1,4,86,,
Appleton Woods,2025,November,22,8,1,16,97,,
Appleton Woods,2025,November,23,9,4,4,82,,
Appleton Woods,2025,November,24,7,5,0,83,,
Appleton Woods,2025,November,25,7,2,0,87,,
Appleton Woods,2025,November,26,10,-2,2,86,,
Appleton Woods,2025,November,27,13,10,1,91,,
Appleton Woods,2025,November,28,12,8,0,84,,
Appleton Woods,2025,November,29,10,4,24,87,,
Appleton Woods,2025,November,30,8,1,0,87,,
Appleton Woods,2025,December,1,12,7,12,92,,
Appleton Woods,2025,December,2,10,5,8,87,,
Appleton Woods,2025,December,3,9,1,0,91,,
Appleton Woods,2025,December,4,8,2,21,94,,
Appleton Woods,2025,December,5,10,1,12,88,,
Appleton Woods,2025,December,6,11,8,2,88,,
Appleton Woods,2025,December,7,14,7,11,93,,
Appleton Woods,2025,December,8,13,9,1,87,,
Appleton Woods,2025,December,9,14,10,18,85,,
Appleton Woods,2025,December,10,12,7,0,87,,
Appleton Woods,2025,December,11,11,7,0,86,,
Appleton Woods,2025,December,12,11,4,4,92,,
Appleton Woods,2025,December,13,9,-1,0,92,,
Appleton Woods,2025,December,14,10,6,0,86,,
Appleton Woods,2025,December,15,11,10,14,88,,
Appleton Woods,2025,December,16,10,2,9,90,,
Appleton Woods,2025,December,17,10,-1,3,90,,
Appleton Woods,2025,December,18,12,9,33,94,,
Appleton Woods,2025,December,19,10,5,0,84,,
Appleton Woods,2025,December,20,8,3,0,85,,
Appleton Woods,2025,December,21,10,7,4,94,,
Appleton Woods,2025,December,22,10,8,2,93,,
Appleton Woods,2025,December,23,8,5,0,87,,
Appleton Woods,2025,December,24,5,2,0,77,,
Appleton Woods,2025,December,25,5,2,0,65,,
Appleton Woods,2025,December,26,5,2,0,84,,
Appleton Woods,2025,December,27,7,1,0,85,,
Appleton Woods,2025,December,28,7,4,0,79,,
Appleton Woods,2025,December,29,6,3,0,80,,
Appleton Woods,2025,December,30,6,1,0,84,,
Appleton Woods,2025,December,31,3,-2,0,88,,
Appleton Woods,2026,January,1,5,1,0,83,,1
Appleton Woods,2026,January,2,3,0,2,79,,
Appleton Woods,2026,January,3,2,-2,0,74,,
Appleton Woods,2026,January,4,2,-3,0,82,,
Appleton Woods,2026,January,5,1,-4,0,78,,
Appleton Woods,2026,January,6,4,-5,6,87,,
Appleton Woods,2026,January,7,5,1,0,87,,
Appleton Woods,2026,January,8,5,2,24,97,,
Appleton Woods,2026,January,9,3,1,6,97,,2
Appleton Woods,2026,January,10,4,-2,0,84,,
Appleton Woods,2026,January,11,11,-1,6,90,,
Appleton Woods,2026,January,12,11,8,5,88,,
Appleton Woods,2026,January,13,10,4,9,94,,
Appleton Woods,2026,January,14,8,-2,4,90,,
Appleton Woods,2026,January,15,8,4,44,95,,
Appleton Woods,2026,January,16,9,3,17,91,,
Appleton Woods,2026,January,17,9,5,1,93,,3
Appleton Woods,2026,January,18,8,5,1,96,,
Appleton Woods,2026,January,19,9,6,1,85,,
Appleton Woods,2026,January,20,9,6,9,82,,
Appleton Woods,2026,January,21,9,5,17,94,,
Appleton Woods,2026,January,22,9,5,18,94,,
Appleton Woods,2026,January,23,9,5,5,83,,
Appleton Woods,2026,January,24,9,6,18,81,,
Appleton Woods,2026,January,25,8,5,0,91,,4
Appleton Woods,2026,January,26,8,5,2,91,,
Appleton Woods,2026,January,27,10,4,28,88,,
Appleton Woods,2026,January,28,8,2,0,90,,
Appleton Woods,2026,January,29,6,2,3,90,,
Appleton Woods,2026,January,30,9,4,12,90,,
Appleton Woods,2026,January,31,9,3,3,90,,
Appleton Woods,2026,February,1,8,5,12,97,,1
Appleton Woods,2026,February,2,8,6,0,89,,
Appleton Woods,2026,February,3,6,2,22,94,,
Appleton Woods,2026,February,4,9,3,0,88,,
Appleton Woods,2026,February,5,8,6,16,95,,
Appleton Woods,2026,February,6,10,6,39,94,,
Appleton Woods,2026,February,7,10,6,5,91,,
Appleton Woods,2026,February,8,10,6,10,93,,2
Appleton Woods,2026,February,9,10,7,1,86,,
Appleton Woods,2026,February,10,10,7,17,94,,
Appleton Woods,2026,February,11,11,7,6,86,,
Appleton Woods,2026,February,12,10,6,11,91,,
Appleton Woods,2026,February,13,7,2,9,93,,
Appleton Woods,2026,February,14,5,0,0,79,,
Appleton Woods,2026,February,15,9,4,27,92,,3
Appleton Woods,2026,February,16,8,4,1,79,,
Appleton Woods,2026,February,17,6,1,0,66,,
Appleton Woods,2026,February,18,5,2,21,77,,
Appleton Woods,2026,February,19,6,3,6,92,,
Appleton Woods,2026,February,20,11,4,4,85,,
Appleton Woods,2026,February,21,13,9,2,87,,4
Appleton Woods,2026,February,22,13,9,1,82,,
Appleton Woods,2026,February,23,12,9,0,82,,
Appleton Woods,2026,February,24,14,9,1,78,,
Appleton Woods,2026,February,25,15,9,0,81,,
Appleton Woods,2026,February,26,13,10,4,81,,
Appleton Woods,2026,February,27,13,8,14,88,,
Appleton Woods,2026,February,28,10,4,1,86,,
Appleton Woods,2026,March,1,13,6,0,84,,1
Appleton Woods,2026,March,2,14,8,0,73,,
Appleton Woods,2026,March,3,12,6,0,80,,
Appleton Woods,2026,March,4,15,4,0,86,,
Appleton Woods,2026,March,5,16,2,0,73,,
Appleton Woods,2026,March,6,9,6,8,87,,
Appleton Woods,2026,March,7,10,6,0,91,,
Appleton Woods,2026,March,8,11,7,2,90,,
Appleton Woods,2026,March,9,13,7,0,90,,2
Appleton Woods,2026,March,10,12,6,6,92,,
Appleton Woods,2026,March,11,11,6,0,67,,
Appleton Woods,2026,March,12,12,6,16,80,,
Appleton Woods,2026,March,13,11,2,2,81,,
Appleton Woods,2026,March,14,11,1,0,64,,
Appleton Woods,2026,March,15,11,2,8,79,,
Appleton Woods,2026,March,16,11,4,0,81,,
Appleton Woods,2026,March,17,14,7,0,72,,3
Appleton Woods,2026,March,18,18,5,0,63,,
Appleton Woods,2026,March,19,16,2,0,70,,
Appleton Woods,2026,March,20,13,1,0,59,,
Appleton Woods,2026,March,21,13,-1,0,68,,
Appleton Woods,2026,March,22,14,4,0,74,,
Appleton Woods,2026,March,23,14,4,0,74,,
Appleton Woods,2026,March,24,13,7,5,84,,
Appleton Woods,2026,March,25,8,4,2,69,,
Appleton Woods,2026,March,26,9,1,0,60,,
Appleton Woods,2026,March,27,12,6,6,86,,
Appleton Woods,2026,March,28,9,2,0,82,,
Appleton Woods,2026,March,29,10,2,1,80,,
Appleton Woods,2026,March,30,11,5,0,64,,
Appleton Woods,2026,March,31,16,6,0,70,,
Appleton Woods,2026,April,1,11,4,0,72,,1
Appleton Woods,2026,April,2,13,7,0,77,,
Appleton Woods,2026,April,3,12,6,0,74,,
Appleton Woods,2026,April,4,14,7,0,77,,
Appleton Woods,2026,April,5,11,5,1,58,,
Appleton Woods,2026,April,6,14,1,0,58,,
Appleton Woods,2026,April,7,20,5,0,51,,
Appleton Woods,2026,April,8,23,6,0,61,,2
Appleton Woods,2026,April,9,15,6,0,64,,
Appleton Woods,2026,April,10,14,6,0,61,,
Appleton Woods,2026,April,11,11,7,1,62,,
Appleton Woods,2026,April,12,12,5,4,69,,
Appleton Woods,2026,April,13,12,1,7,72,,
Appleton Woods,2026,April,14,14,2,3,74,,
Appleton Woods,2026,April,15,16,9,2,80,,3
Appleton Woods,2026,April,16,16,9,0,69,,
Appleton Woods,2026,April,17,16,9,0,65,,
Appleton Woods,2026,April,18,15,5,0,63,,
Appleton Woods,2026,April,19,14,4,0,58,,
Appleton Woods,2026,April,20,13,2,0,58,,
Appleton Woods,2026,April,21,14,4,0,63,,
Appleton Woods,2026,April,22,16,4,0,52,,4
Appleton Woods,2026,April,23,19,4,0,49,,
Appleton Woods,2026,April,24,19,2,0,50,,
Appleton Woods,2026,April,25,19,1,0,47,,
Appleton Woods,2026,April,26,18,4,0,52,,
Appleton Woods,2026,April,27,20,6,0,52,,
Appleton Woods,2026,April,28,14,7,1,70,,
Appleton Woods,2026,April,29,18,6,0,44,,
Appleton Woods,2026,April,30,22,8,0,42,,
Appleton Woods,2026,May,1,23,8,0,54,,1
Appleton Woods,2026,May,2,20,8,7,66,,
Appleton Woods,2026,May,3,18,10,14,71,,
Appleton Woods,2026,May,4,16,10,0,78,,
Appleton Woods,2026,May,5,17,10,0,68,,
Appleton Woods,2026,May,6,14,6,0,59,,
Appleton Woods,2026,May,7,16,4,0,63,,
Appleton Woods,2026,May,8,16,7,0,68,,2
Appleton Woods,2026,May,9,20,7,0,53,,
Appleton Woods,2026,May,10,16,5,0,58,,
Appleton Woods,2026,May,11,12,2,0,66,,
Appleton Woods,2026,May,12,15,1,0,61,,
Appleton Woods,2026,May,13,12,6,9,62,,
Appleton Woods,2026,May,14,12,7,6,74,,
Appleton Woods,2026,May,15,14,2,0,69,,
Appleton Woods,2026,May,16,13,3,3,74,,3
Appleton Woods,2026,May,17,14,7,0,66,,
Appleton Woods,2026,May,18,13,7,2,73,,
Appleton Woods,2026,May,19,16,10,14,80,,
Appleton Woods,2026,May,20,18,11,0,74,,
Appleton Woods,2026,May,21,22,10,0,62,,
Appleton Woods,2026,May,22,27,11,0,56,,
Appleton Woods,2026,May,23,26,13,0,59,,
Appleton Woods,2026,May,24,28,12,0,53,,4
Appleton Woods,2026,May,25,32,15,0,48,,
Appleton Woods,2026,May,26,32,16,0,51,,
Appleton Woods,2026,May,27,29,15,0,55,,
Appleton Woods,2026,May,28,28,14,0,57,,
Appleton Woods,2026,May,29,22,13,0,53,,
Appleton Woods,2026,May,30,25,11,0,49,,
Appleton Woods,2026,May,31,21,13,0,61,,
Appleton Woods,2026,June,1,19,12,33,74,,1
Appleton Woods,2026,June,2,18,13,23,77,,
Appleton Woods,2026,June,3,18,12,13,82,,
Appleton Woods,2026,June,4,16,12,18,77,,
Appleton Woods,2026,June,5,16,10,0,65,,
Appleton Woods,2026,June,6,15,11,13,75,,
Appleton Woods,2026,June,7,18,11,0,72,,
Appleton Woods,2026,June,8,17,10,11,74,,
Appleton Woods,2026,June,9,16,8,7,67,,2
Appleton Woods,2026,June,10,15,8,9,70,,
Appleton Woods,2026,June,11,16,8,15,89,,
Appleton Woods,2026,June,12,20,14,0,77,,
Appleton Woods,2026,June,13,20,12,1,62,,
Appleton Woods,2026,June,14,21,12,0,62,,
Appleton Woods,2026,June,15,22,12,0,66,,
Appleton Woods,2026,June,16,23,14,2,70,,3
Appleton Woods,2026,June,17,21,16,3,79,,
Appleton Woods,2026,June,18,24,16,0,72,,
Appleton Woods,2026,June,19,26,14,0,66,,
Appleton Woods,2026,June,20,23,16,5,68,,
Appleton Woods,2026,June,21,28,14,0,63,,
Appleton Woods,2026,June,22,30,17,13,62,,
Appleton Woods,2026,June,23,33,17,0,67,,
Appleton Woods,2026,June,24,33,21,0,62,,
Appleton Woods,2026,June,25,34,20,0,58,,
Appleton Woods,2026,June,26,32,20,0,57,,
Appleton Woods,2026,June,27,28,17,0,57,,
Appleton Woods,2026,June,28,23,14,0,57,,
Appleton Woods,2026,June,29,21,11,,58,,
Appleton Woods,2026,June,30,22,13,1,62,,
Appleton Woods,2026,July,1,23,13,0,58,,
Appleton Woods,2026,July,2,24,14,2,53,,
Appleton Woods,2026,July,3,25,9,0,,,
Appleton Woods,2026,July,4,,,,,,
Appleton Woods,2026,July,5,,,,,,
Appleton Woods,2026,July,6,,,,,,
Appleton Woods,2026,July,7,,,,,,
Appleton Woods,2026,July,8,,,,,,
Appleton Woods,2026,July,9,,,,,,
Appleton Woods,2026,July,10,,,,,,
Appleton Woods,2026,July,11,,,,,,
Appleton Woods,2026,July,12,,,,,,
Appleton Woods,2026,July,13,,,,,,
Appleton Woods,2026,July,14,,,,,,
Appleton Woods,2026,July,15,,,,,,
Appleton Woods,2026,July,16,,,,,,
Appleton Woods,2026,July,17,,,,,,
Appleton Woods,2026,July,18,,,,,,
Appleton Woods,2026,July,19,,,,,,
Appleton Woods,2026,July,20,,,,,,
Appleton Woods,2026,July,21,,,,,,
Appleton Woods,2026,July,22,,,,,,
Appleton Woods,2026,July,23,,,,,,
Appleton Woods,2026,July,24,,,,,,
Appleton Woods,2026,July,25,,,,,,
Appleton Woods,2026,July,26,,,,,,
Appleton Woods,2026,July,27,,,,,,
Appleton Woods,2026,July,28,,,,,,
Appleton Woods,2026,July,29,,,,,,
Appleton Woods,2026,July,30,,,,,,
Appleton Woods,2026,July,31,,,,,,